word,weight
maker,3638.0
fecal,3638.0
shape,3637.0
phase,3637.0
super,3636.0
glade,3636.0
purse,3636.0
lemur,3635.0
rayon,3634.0
labor,3634.0
towel,3632.0
pecan,3631.0
gruel,3630.0
intro,3630.0
craze,3629.0
abuse,3629.0
snort,3628.0
since,3625.0
stain,3623.0
saint,3623.0
satin,3623.0
shone,3621.0
wager,3619.0
azure,3619.0
smite,3618.0
retro,3617.0
otter,3617.0
maple,3614.0
ample,3614.0
snail,3613.0
slain,3613.0
naive,3611.0
bathe,3611.0
rebut,3610.0
asset,3610.0
brute,3610.0
taste,3610.0
state,3610.0
tuber,3610.0
tease,3610.0
coast,3609.0
finer,3609.0
ascot,3609.0
infer,3609.0
slime,3608.0
smile,3608.0
abled,3606.0
blade,3606.0
break,3603.0
baker,3603.0
adorn,3603.0
brake,3603.0
cairn,3602.0
hyena,3601.0
opine,3601.0
lease,3600.0
bluer,3600.0
easel,3600.0
lemon,3598.0
melon,3598.0
crime,3597.0
stoke,3596.0
force,3595.0
omega,3594.0
smart,3593.0
media,3593.0
homer,3593.0
racer,3589.0
leafy,3586.0
shame,3586.0
serum,3585.0
flora,3583.0
filet,3582.0
surge,3580.0
grail,3580.0
cutie,3577.0
grave,3576.0
apron,3576.0
inept,3575.0
spent,3573.0
loath,3571.0
under,3569.0
leaky,3566.0
grope,3566.0
pride,3565.0
pried,3565.0
noble,3563.0
cower,3561.0
gleam,3558.0
abide,3558.0
freak,3552.0
value,3551.0
rebus,3550.0
rainy,3550.0
brave,3546.0
foyer,3543.0
snide,3542.0
prune,3542.0
clerk,3539.0
stove,3539.0
wafer,3538.0
shine,3537.0
probe,3536.0
trite,3533.0
begat,3533.0
berth,3532.0
olive,3531.0
reset,3531.0
steer,3531.0
terse,3531.0
ester,3531.0
solve,3529.0
blame,3528.0
amble,3528.0
nerdy,3527.0
wheat,3526.0
manor,3525.0
trawl,3523.0
chose,3523.0
bagel,3523.0
often,3522.0
salty,3521.0
groan,3520.0
torus,3520.0
organ,3520.0
drain,3519.0
nadir,3519.0
cover,3518.0
wreak,3518.0
eaten,3516.0
whale,3516.0
spine,3515.0
snipe,3515.0
house,3513.0
felon,3512.0
shoal,3511.0
image,3510.0
comet,3510.0
dirge,3509.0
ridge,3509.0
decay,3508.0
flyer,3507.0
ounce,3507.0
valor,3506.0
dread,3506.0
edict,3504.0
token,3502.0
patio,3501.0
suave,3501.0
copse,3501.0
scope,3501.0
roach,3500.0
frail,3499.0
ethic,3499.0
flair,3499.0
amend,3497.0
chest,3497.0
grant,3494.0
gloat,3493.0
tidal,3492.0
baron,3490.0
stark,3487.0
prime,3487.0
ombre,3485.0
shalt,3485.0
sperm,3485.0
gripe,3482.0
shake,3480.0
paper,3479.0
parer,3479.0
bride,3479.0
depot,3478.0
story,3478.0
flame,3477.0
screw,3475.0
chart,3474.0
halve,3473.0
straw,3473.0
riser,3473.0
extol,3473.0
crude,3471.0
uncle,3471.0
knelt,3466.0
upset,3465.0
setup,3465.0
plait,3465.0
poker,3465.0
bloat,3463.0
graze,3463.0
splat,3463.0
gazer,3463.0
waver,3461.0
singe,3459.0
fiery,3459.0
inane,3458.0
speak,3458.0
savor,3456.0
pulse,3455.0
boule,3455.0
exact,3455.0
deity,3452.0
power,3451.0
scary,3450.0
droit,3449.0
poesy,3449.0
threw,3447.0
cheap,3445.0
peach,3445.0
short,3442.0
fable,3442.0
yield,3442.0
staid,3442.0
mouse,3440.0
enter,3437.0
grain,3436.0
novel,3435.0
drove,3435.0
zebra,3433.0
grime,3431.0
antic,3431.0
hover,3430.0
decry,3429.0
forge,3429.0
scant,3429.0
rearm,3428.0
elfin,3428.0
fried,3428.0
macro,3427.0
tardy,3427.0
equal,3427.0
piety,3425.0
cagey,3425.0
eager,3423.0
agree,3423.0
shave,3423.0
cargo,3422.0
rival,3422.0
viral,3422.0
bleak,3422.0
fresh,3421.0
acrid,3421.0
heady,3420.0
sport,3420.0
spice,3417.0
hoard,3417.0
model,3417.0
chair,3416.0
mange,3414.0
crash,3414.0
boast,3413.0
lodge,3412.0
aloft,3412.0
float,3412.0
guest,3409.0
prove,3408.0
liken,3408.0
brain,3406.0
twine,3404.0
above,3401.0
guile,3401.0
party,3400.0
mower,3400.0
tempo,3400.0
gavel,3395.0
weird,3394.0
tepid,3394.0
wider,3394.0
rebar,3393.0
scrap,3392.0
cobra,3392.0
knead,3391.0
cleft,3388.0
ovine,3387.0
shrew,3387.0
plied,3384.0
mural,3381.0
inner,3379.0
broke,3379.0
began,3379.0
flute,3378.0
blast,3377.0
honey,3377.0
nasty,3377.0
sneer,3377.0
loose,3376.0
scorn,3376.0
mayor,3375.0
awoke,3373.0
flake,3371.0
storm,3369.0
plant,3369.0
inlay,3369.0
diary,3369.0
dairy,3369.0
perch,3366.0
corer,3365.0
hairy,3364.0
aorta,3363.0
tarot,3363.0
prude,3361.0
hazel,3360.0
beach,3359.0
cease,3358.0
shirt,3358.0
mover,3357.0
alley,3356.0
shied,3356.0
ralph,3354.0
grove,3352.0
elite,3352.0
title,3352.0
guise,3351.0
mercy,3351.0
diver,3351.0
drive,3351.0
steel,3350.0
sleet,3350.0
tonga,3349.0
tango,3349.0
north,3348.0
thorn,3348.0
tweak,3347.0
covet,3347.0
piano,3347.0
stand,3346.0
niche,3345.0
grief,3345.0
sinew,3344.0
swine,3344.0
scram,3341.0
spray,3340.0
raspy,3340.0
erect,3339.0
along,3339.0
exist,3339.0
cigar,3338.0
clove,3337.0
lefty,3336.0
orbit,3336.0
strip,3336.0
golem,3334.0
spied,3334.0
eight,3333.0
shard,3331.0
heath,3330.0
theta,3330.0
truer,3329.0
utter,3329.0
haven,3329.0
glide,3328.0
court,3328.0
fetus,3328.0
altar,3327.0
broil,3326.0
irony,3326.0
sugar,3326.0
ladle,3325.0
viper,3324.0
croak,3321.0
paint,3321.0
ranch,3320.0
unmet,3320.0
ruler,3319.0
basil,3319.0
